RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.613408566574968,0.00039421292393321657,9.538,0.001
103.01408386,-0.45511112,-16.623286028866104,0.00039214505019737083,10.026,
103.00787354000002,-0.456,-16.219542395754154,0.0004329814242389618,10.537,0.001
102.89054108,-0.19208333,-16.318959560709793,0.00042711966680063034,10.574,
103.15512848,-0.32233334,-16.15524734204255,0.00044312581150844605,11.118,0.004
103.04795837000002,-0.32122222,-15.812159732315061,0.00047482776817469696,11.93,
103.15296173,-0.24211112,-15.731135938828979,0.0004839518673784422,11.878,0.002
103.0769577,-0.33875,-15.598113599023787,0.0004941077314250783,11.954,0.003
103.11645508,-0.22863889,-15.492287321894597,0.0005038380791995563,12.113,0.003
102.87779236,-0.31630555,-15.59029954646521,0.0004955804651424036,12.185,0.003
103.16696167,-0.28741667,-15.66825702244088,0.0004888253835312818,12.238,0.003
103.01887512,-0.32730556,-15.800161342166954,0.00047646079464039613,12.271,0.002
102.95658112,-0.35436112,-15.700150224545236,0.00048582689405669485,12.723,0.005
103.04141998,-0.39222223,-15.026095046531704,0.0005352783453101272,12.732,0.003
103.07862854,-0.39244443,-15.08625272893558,0.0005298698062639306,12.754,0.003
102.86245728,-0.26002777,-15.18481168422002,0.0005263358702494429,13.089,0.002
103.0572052,-0.32227778,-15.169770346634511,0.0005252989464573624,13.068,0.003
103.04929352000002,-0.30702779,-14.91481520192609,0.0005394408508605581,13.385,0.004
103.05558014,-0.32788888,-15.212111604695213,0.0005224554616518102,13.398,0.003
103.06874847,-0.32805556,-14.734160546464977,0.0005516768299763247,13.749,0.004
103.15853882,-0.27594444,-14.303406600998212,0.00057266069419774,13.707,0.004
102.96583557,-0.33777779,-14.642652076645732,0.0005563290067372754,13.811,0.014
102.86791992,-0.27372223,-14.203087867530877,0.0005765784774290266,14.001,0.004
103.14537811,-0.25716668,-14.279746462796767,0.000574083580559903,13.975,0.007
102.87308502,-0.41411111,-14.464846596903524,0.0005635026240359426,14.137,0.005
103.15650177000002,-0.28436112,-14.16029400050684,0.000576941706387227,14.09,0.003
102.88141632,-0.44044444,-13.919915092330575,0.0005829197421619524,14.162,0.005
103.08791351,-0.264,-14.252313060235046,0.0005739703207476783,14.439,0.004
102.91625214,-0.42830557,-13.308004744358318,0.0005969729087793968,14.556,0.025
102.96387482,-0.40591668,,0.0006179772806992079,14.887,0.024
103.00450134,-0.40102778,-11.008892689321177,0.0006154143082493512,14.882,0.022
103.04929352000002,-0.38980556,-10.21793314365546,0.0006155046254595126,14.277,0.007
103.08333588,-0.37566668,-12.1543731399814,0.0006106068241437719,14.578,0.009
102.94579315,-0.39627779,-7.866015463559506,0.0006184807150667065,14.84,0.038
103.08108139,-0.3925,-15.087577382391347,0.000531152032858896,14.302,0.011
103.02979459,-0.40591668,-14.12616520209072,0.0005765341826786206,14.588,0.041
103.06874847,-0.42447222,-11.700420584366293,0.0006131181182475274,15.216,0.089
103.02716827,-0.42625,-11.318583493335918,0.0006139968606422516,14.668,0.013
103.02716827,-0.42625,-11.318583493335918,0.0006139968606422516,14.668,0.013
103.00450134,-0.44888888,-13.596884190124694,0.0005868438853588482,14.941,0.012
103.09837723,-0.36330554,-11.334104474335172,0.0006123006763689956,14.787,0.014
103.11837288,-0.35263889,-9.266296276221253,0.0006170971453391626,15.095,0.025
103.11837288,-0.35263889,-9.266296276221253,0.0006170971453391626,15.095,0.025
103.08108139,-0.37830555,-11.756452795136651,0.0006121606623918362,15.459,0.06
103.08108139,-0.37830555,-11.756452795136651,0.0006121606623918362,15.459,0.06
103.05958048,-0.38805556,-9.631115634282539,0.0006170442139276308,15.833,0.08
103.05958048,-0.38805556,-9.631115634282539,0.0006170442139276308,15.833,0.08
103.07275415,-0.38175,,0.000616768570060569,16.077,0.154
103.07275415,-0.38175,,0.000616768570060569,16.077,0.154
103.05841829,-0.38566668,-10.621417792361218,0.0006153336652780772,16.303,0.22
103.05841829,-0.38566668,-10.621417792361218,0.0006153336652780772,16.303,0.22
103.04691466,-0.39022223,-11.579814739898161,0.0006134849558615906,16.575,0.282
103.04691466,-0.39022223,-11.579814739898161,0.0006134849558615906,16.575,0.282
103.03838348,-0.3955,-13.180383919410854,0.0005996797564215974,16.828,0.35
103.03838348,-0.3955,-13.180383919410854,0.0005996797564215974,16.828,0.35
103.03076172,-0.40036112,-11.181308183811645,0.0006142078786927697,17.088,0.416
103.03076172,-0.40036112,-11.181308183811645,0.0006142078786927697,17.088,0.416
