RA_degrees,Dec_degrees,U,U_err,B,B_err,V,V_err,Rc,Rc_err,Ic,Ic_err
103.02062225000002,-0.30508333,9.433,0.001,9.535,0.001,9.538,0.001,9.528,0.001,9.519,0.001
103.01408386,-0.45511112,12.354,0.002,11.202,0.001,10.026,,9.412,0.001,8.876,0.001
103.00787354000002,-0.456,10.853,0.002,10.739,0.001,10.537,0.001,10.427,0.001,10.305,0.001
102.89054108,-0.19208333,11.277,0.001,11.183,0.001,10.574,,10.226,,9.905,0.001
103.15512848,-0.32233334,13.126,0.007,12.222,0.005,11.118,0.004,10.543,0.004,10.016,0.005
103.04795837000002,-0.32122222,14.612,0.004,13.287,0.001,11.930,,11.203,0.001,10.549,0.001
103.15296173,-0.24211112,12.498,0.006,12.429,0.004,11.878,0.002,11.566,0.003,11.267,0.005
103.0769577,-0.33875,12.513,0.005,12.417,0.004,11.954,0.003,11.664,0.004,11.384,0.004
103.11645508,-0.22863889,12.516,0.007,12.427,0.004,12.113,0.003,11.920,0.004,11.725,0.006
102.87779236,-0.31630555,12.705,0.007,12.707,0.006,12.185,0.003,11.880,0.003,11.577,0.003
103.16696167,-0.28741667,14.610,0.008,13.523,0.005,12.238,0.003,11.540,0.004,10.890,0.005
103.01887512,-0.32730556,12.538,0.005,12.428,0.002,12.271,0.002,12.191,0.003,12.105,0.003
102.95658112,-0.35436112,17.059,0.032,14.915,0.009,12.723,0.005,11.469,0.006,10.318,0.007
103.04141998000001,-0.39222223,12.892,0.006,12.896,0.004,12.732,0.003,12.641,0.005,12.533,0.006
103.07862854000001,-0.39244443,13.292,0.009,13.047,0.004,12.754,0.003,12.596,0.005,12.416,0.007
102.86245728,-0.26002777,15.375,0.003,14.372,0.002,13.089,0.002,12.388,0.003,11.726,0.003
103.05720520000001,-0.32227778,14.880,0.012,14.214,0.005,13.068,0.003,12.385,0.004,11.712,0.022
103.04929352000002,-0.30702779,15.072,0.012,14.353,0.006,13.385,0.004,12.810,0.005,12.316,0.006
103.05558014,-0.32788888,17.243,0.029,15.307,0.004,13.398,0.003,12.316,0.003,11.314,0.004
103.06874847,-0.32805556,14.479,0.008,14.381,0.006,13.749,0.004,13.383,0.004,13.031,0.005
103.15853882,-0.27594444,14.280,0.010,14.022,0.006,13.707,0.004,13.534,0.005,13.333,0.007
102.96583557,-0.33777779,14.996,0.028,14.602,0.028,13.811,0.014,13.394,0.014,12.990,0.025
102.86791992,-0.27372223,14.827,0.004,14.470,0.004,14.001,0.004,13.718,0.004,13.387,0.019
103.14537811,-0.25716668,15.075,0.017,14.789,0.008,13.975,0.007,13.532,0.009,13.101,0.009
102.87308502,-0.41411111,14.601,0.015,14.475,0.007,14.137,0.005,13.941,0.008,13.698,0.009
103.15650177000002,-0.28436112,14.388,0.010,14.685,0.007,14.090,0.003,13.714,0.005,13.272,0.006
102.88141632,-0.44044444,14.388,0.012,14.578,0.010,14.162,0.005,13.868,0.007,13.551,0.010
103.08791351,-0.264,17.318,0.061,16.034,0.015,14.439,0.004,13.511,0.005,12.629,0.007
102.91625214,-0.42830557,14.955,0.042,14.794,0.037,14.556,0.025,14.438,0.031,14.329,0.045
102.96387482,-0.40591668,15.337,0.053,15.151,0.048,14.887,0.024,14.777,0.032,14.662,0.044
103.00450134,-0.40102778,15.326,0.049,15.167,0.043,14.882,0.022,14.756,0.029,14.623,0.041
103.04929352000002,-0.38980556,16.332,0.131,15.375,0.055,14.277,0.007,13.537,0.007,12.800,0.007
103.08333588,-0.37566668,17.658,0.270,16.220,0.106,14.578,0.009,13.533,0.010,12.518,0.012
102.94579315000001,-0.39627779,15.162,0.083,15.140,0.072,14.840,0.038,14.669,0.049,14.493,0.067
103.08108139,-0.3925,14.528,0.019,14.546,0.018,14.302,0.011,14.228,0.013,14.121,0.018
103.02979459,-0.40591668,15.699,0.167,15.197,0.094,14.588,0.041,14.208,0.041,13.849,0.046
103.06874847,-0.42447222,16.077,0.144,15.752,0.128,15.216,0.089,14.950,0.107,14.687,0.127
103.02716827,-0.42625,14.823,0.021,14.775,0.019,14.668,0.013,14.611,0.015,14.529,0.020
103.02716827,-0.42625,14.971,0.023,14.950,0.021,14.804,0.014,14.742,0.017,14.662,0.023
103.00450134,-0.44888888,15.045,0.021,15.032,0.018,14.941,0.012,14.887,0.015,14.815,0.021
103.09837723,-0.36330554,14.951,0.025,15.024,0.022,14.787,0.014,14.728,0.017,14.647,0.022
103.11837288000001,-0.35263889,15.323,0.042,15.305,0.037,15.095,0.025,15.021,0.030,14.938,0.035
103.11837288000001,-0.35263889,15.369,0.044,15.342,0.039,15.142,0.026,15.069,0.031,14.984,0.036
103.08108139,-0.37830555,15.649,0.085,15.679,0.080,15.459,0.060,15.409,0.071,15.350,0.080
103.08108139,-0.37830555,15.839,0.095,15.898,0.089,15.692,0.066,15.635,0.078,15.579,0.088
103.05958048,-0.38805556,15.983,0.107,16.019,0.102,15.833,0.080,15.784,0.094,15.727,0.106
103.05958048,-0.38805556,16.115,0.121,16.107,0.118,15.925,0.098,15.882,0.116,15.830,0.130
103.07275415,-0.38175,16.444,0.184,16.363,0.185,16.077,0.154,16.028,0.183,15.968,0.205
103.07275415,-0.38175,16.561,0.199,16.477,0.204,16.196,0.176,16.142,0.206,16.083,0.229
103.05841829,-0.38566668,16.718,0.231,16.595,0.250,16.303,0.220,16.253,0.257,16.191,0.286
103.05841829,-0.38566668,16.849,0.245,16.726,0.268,16.428,0.240,16.382,0.281,16.317,0.310
103.04691466000001,-0.39022223,17.038,0.275,16.870,0.306,16.575,0.282,16.525,0.328,16.460,0.360
103.04691466000001,-0.39022223,17.144,0.295,16.980,0.332,16.684,0.310,16.628,0.365,16.564,0.399
103.03838348,-0.3955,17.322,0.340,17.125,0.376,16.828,0.350,16.772,0.410,16.698,0.444
103.03838348,-0.3955,17.419,0.360,17.235,0.398,16.933,0.376,16.878,0.442,16.806,0.477
103.03076172,-0.40036112,17.584,0.396,17.387,0.442,17.088,0.416,17.033,0.494,16.958,0.529
103.03076172,-0.40036112,17.675,0.418,17.480,0.468,17.186,0.444,17.131,0.528,17.058,0.564
