RA,DEC,Instrumental_B,InstrumentalB_err,Known_B,KnownB_err
103.02062225000002,-0.30508333,-15.914876138891994,0.0005999130663886903,9.535,0.001
103.01408386,-0.45511112,-15.614046658207855,0.0006619316695993101,11.202,0.001
103.00787354000002,-0.456,-15.759783337640226,0.0006317071756364403,10.739,0.001
102.89054108,-0.19208333,-15.68695014978881,0.0006492140452468402,11.183,0.001
103.15512848,-0.32233334,-15.030890839537673,0.0007797728447155943,12.222,0.005
103.04795837000002,-0.32122222,-14.003459727579699,0.0009469363088004678,13.287,0.001
103.15296173,-0.24211112,-14.803982806368099,0.0008218218454153611,12.429,0.004
103.0769577,-0.33875,-14.678681682835975,0.0008434619452985251,12.417,0.004
103.11645508,-0.22863889,-14.747737030603217,0.0008326916014818998,12.427,0.004
102.87779236,-0.31630555,-14.523155655400382,0.0008722052182677239,12.707,0.006
103.16696167,-0.28741667,-13.748380082998038,0.000982437684157638,13.523,0.005
103.01887512,-0.32730556,-14.784209478872125,0.0008236761772595367,12.428,0.002
102.95658112,-0.35436112,-12.586156330938785,0.0010758951233566982,14.915,0.009
103.04141998,-0.39222223,-14.25142723718432,0.0009140842712717964,12.896,0.004
103.07862854,-0.39244443,-14.113173517014046,0.0009333252340193386,13.047,0.004
102.86245728,-0.26002777,-12.90064305279917,0.0010602730665868712,14.372,0.002
103.0572052,-0.32227778,-13.044692640171762,0.0010455929418220116,14.214,0.005
103.04929352000002,-0.30702779,-12.907454246952422,0.0010450993645732612,14.353,0.006
103.05558014,-0.32788888,-12.715785434722047,0.0010677147859341385,15.307,0.004
103.06874847,-0.32805556,-12.971744967246767,0.0010523777507892656,14.381,0.006
103.15853882,-0.27594444,-13.179661841182398,0.0010390885432429318,14.022,0.006
102.96583557,-0.33777779,-12.776289940258314,0.0010657250712480227,14.602,0.028
102.86791992,-0.27372223,-12.793572138829923,0.0010685513732211244,14.47,0.004
103.14537811,-0.25716668,-12.424296778273591,0.0010858019634536866,14.789,0.008
102.87308502,-0.41411111,-12.989146920595601,0.0010520203813401247,14.475,0.007
103.15650177000002,-0.28436112,-12.462511654450752,0.0010822141480231052,14.685,0.007
102.88141632,-0.44044444,-12.514855770525756,0.0010796492914732707,14.578,0.01
103.08791351,-0.264,-11.320764972128732,0.0011190399100864754,16.034,0.015
102.91625214,-0.42830557,-12.227974686443337,0.0010939636093528582,14.794,0.037
102.96387482,-0.40591668,-7.291301480742106,0.0011390168701955808,15.151,0.048
103.00450134,-0.40102778,-9.29288535282449,0.0011349826187554886,15.167,0.043
103.04929352000002,-0.38980556,-8.377324153917723,0.0011381772351062613,15.375,0.055
103.08333588,-0.37566668,-10.520053278330632,0.0011295011052553827,16.22,0.106
102.94579315,-0.39627779,-7.7266867741148415,0.001138595246539734,15.14,0.072
103.08108139,-0.3925,-14.110806150171411,0.000934314790878989,14.546,0.018
103.02979459,-0.40591668,-11.588529844066336,0.0011141062653627059,15.197,0.094
103.06874847,-0.42447222,-9.629610248363067,0.0011367125562294863,15.752,0.128
103.02716827,-0.42625,-9.124576699977734,0.0011380038789376972,14.775,0.019
103.02716827,-0.42625,-9.124576699977734,0.0011380038789376972,14.775,0.019
103.00450134,-0.44888888,-11.941254359285477,0.001096233381684598,15.032,0.018
103.09837723,-0.36330554,-8.673932299119862,0.0011347367534748163,15.024,0.022
103.11837288,-0.35263889,-8.793260987403293,0.0011390654894317246,15.305,0.037
103.11837288,-0.35263889,-8.793260987403293,0.0011390654894317246,15.305,0.037
103.08108139,-0.37830555,-10.362045028991671,0.0011310369297396826,15.679,0.08
103.08108139,-0.37830555,-10.362045028991671,0.0011310369297396826,15.679,0.08
103.05958048,-0.38805556,-9.932969607610843,0.0011345773755845297,16.019,0.102
103.05958048,-0.38805556,-9.932969607610843,0.0011345773755845297,16.019,0.102
103.07275415,-0.38175,,0.001138732117250432,16.363,0.185
103.07275415,-0.38175,,0.001138732117250432,16.363,0.185
103.05841829,-0.38566668,-10.067903147058734,0.001133010592616733,16.595,0.25
103.05841829,-0.38566668,-10.067903147058734,0.001133010592616733,16.595,0.25
103.04691466,-0.39022223,-9.452982176181683,0.0011348461156071587,16.87,0.306
103.04691466,-0.39022223,-9.452982176181683,0.0011348461156071587,16.87,0.306
103.03838348,-0.3955,-12.328084378253488,0.0010883437197948141,17.125,0.376
103.03838348,-0.3955,-12.328084378253488,0.0010883437197948141,17.125,0.376
103.03076172,-0.40036112,-8.760486166132727,0.0011378162067441412,17.387,0.442
103.03076172,-0.40036112,-8.760486166132727,0.0011378162067441412,17.387,0.442
