g' filter,,,,,Known,,,,,
,,,,,,,,,,
id,xCenter,aperture_sum,aperture_sum_err,,Ra (deg),Dec (deg),g’,g’err,i’,i’err
1,2825.058367,2836635.922,1836.981328,,209.397542,-9.752132,11.223,0.02,10.771,0.076
2,2070.508843,33560.11886,738.7273446,,209.318113,-9.627305,16.077,0.029,14.936,0.056
3,2333.90627,49801.29146,739.9480923,,209.360342,-9.411171,15.534,0.072,14.891,0.064
4,2168.696896,30623.07402,721.1066852,,209.344599,-9.354614,16.072,0.057,15.411,0.068
5,417.0714197,178924.4847,825.5575915,,209.137084,-9.480872,14.154,0.051,13.547,0.034
6,1060.293465,417143.2552,956.2245851,,209.21396,-9.422863,13.238,0.062,12.625,0.034
7,1337.309923,44155.86971,734.2815085,,209.246385,-9.4099,15.611,0.06,15.045,0.067
8,1993.91275,295542.6363,893.9424791,,209.318917,-9.456286,13.69,0.048,11.862,0.047
9,3106.37067,538557.3506,1023.843231,,209.442814,-9.517508,12.974,0.053,12.78,0.52
10,3406.027967,85289.17658,767.2065034,,209.482814,-9.41469,14.944,0.062,14.213,0.068
11,3685.485847,1048789.757,1254.612425,,209.499338,-9.693505,12.341,0.025,11.313,0.052
12,3754.036448,857867.5003,1172.65706,,209.512912,-9.590211,12.507,0.046,11.963,0.041
13,798.7311204,38443.09662,741.7328809,,209.173385,-9.611714,15.806,0.072,15.111,0.06
14,1777.859011,101978.8412,789.31169,,209.278555,-9.735194,14.777,0.014,14.074,0.037
,,,,,,,,,,
,,,,,,,,,,
i' filter,,,,,Known,,,,,
,,,,,,,,,,
id,xCenter,aperture_sum,aperture_sum_err,,Ra (deg),Dec (deg),g’,g’err,i’,i’err
1,2830.680412,2024634.168,1564.044508,,209.397542,-9.752132,11.223,0.02,10.771,0.076
2,2075.396365,40291.40399,669.3717835,,209.318113,-9.627305,16.077,0.029,14.936,0.056
3,2338.918181,39129.37355,656.6290315,,209.360342,-9.411171,15.534,0.072,14.891,0.064
4,2173.533134,23823.73867,638.888292,,209.344599,-9.354614,16.072,0.057,15.411,0.068
5,420.4141431,142499.8822,738.3697701,,209.137084,-9.480872,14.154,0.051,13.547,0.034
6,1064.178695,342134.4982,859.5502374,,209.21396,-9.422863,13.238,0.062,12.625,0.034
7,1341.434908,38287.17649,656.5953441,,209.246385,-9.4099,15.611,0.06,15.045,0.067
8,1998.645227,674843.6506,1036.824335,,209.318917,-9.456286,13.69,0.048,11.862,0.047
9,3112.123636,306686.9772,841.8236482,,209.442814,-9.517508,12.974,0.053,12.78,0.52
10,3411.995173,75182.03044,685.1842857,,209.482814,-9.41469,14.944,0.062,14.213,0.068
11,3691.843361,1211415.721,1276.702174,,209.499338,-9.693505,12.341,0.025,11.313,0.052
12,3760.402415,663108.7834,1034.349733,,209.512912,-9.590211,12.507,0.046,11.963,0.041
13,802.4797237,34224.76588,665.3898377,,209.173385,-9.611714,15.806,0.072,15.111,0.06
14,1782.541107,89210.60092,708.060676,,209.278555,-9.735194,14.777,0.014,14.074,0.037
